team,confederation,fifa_rank,rank_change,elo,form_score,r32_prob,r16_prob,qf_prob,sf_prob,final_prob,winner_prob,r32_count,r16_count,qf_count,sf_count,final_count,winner_count
Spain,UEFA,2,8,2229.752256837152,59.0,0.989,0.754,0.637,0.501,0.406,0.266,989,754,637,501,406,266
Argentina,CONMEBOL,3,-1,2179.6498750796786,37.0,0.987,0.731,0.606,0.479,0.356,0.241,987,731,606,479,356,241
France,UEFA,1,2,2124.774364408994,46.0,0.933,0.697,0.501,0.315,0.147,0.072,933,697,501,315,147,72
Colombia,CONMEBOL,13,4,2064.024270465876,20.0,0.933,0.621,0.41,0.232,0.139,0.066,933,621,410,232,139,66
England,UEFA,4,1,2094.7185554720427,54.0,0.944,0.638,0.381,0.223,0.11,0.053,944,638,381,223,110,53
Brazil,CONMEBOL,6,-5,2050.1909344552328,22.0,0.969,0.632,0.441,0.257,0.119,0.051,969,632,441,257,119,51
Ecuador,CONMEBOL,23,18,2015.363182911524,9.0,0.949,0.652,0.339,0.197,0.08,0.034,949,652,339,197,80,34
Japan,AFC,18,2,1963.03730683027,61.0,0.919,0.511,0.322,0.166,0.062,0.027,919,511,322,166,62,27
Mexico,CONCACAF,15,0,1959.6923480909352,23.0,0.979,0.71,0.362,0.171,0.064,0.026,979,710,362,171,64,26
Portugal,UEFA,5,4,2023.465598128544,56.0,0.817,0.432,0.221,0.106,0.046,0.02,817,432,221,106,46,20
Netherlands,UEFA,7,-1,2019.415029037016,40.0,0.885,0.459,0.262,0.132,0.051,0.018,885,459,262,132,51,18
Morocco,CAF,8,3,1972.9396360391856,63.0,0.862,0.468,0.237,0.111,0.04,0.018,862,468,237,111,40,18
Uruguay,CONMEBOL,17,-1,1976.0103571615207,23.0,0.906,0.387,0.223,0.114,0.044,0.015,906,387,223,114,44,15
Iran,AFC,21,3,1872.9660671010029,35.0,0.82,0.469,0.201,0.067,0.031,0.011,820,469,201,67,31,11
Germany,UEFA,10,4,1987.7378111830617,35.0,0.908,0.451,0.188,0.069,0.016,0.01,908,451,188,69,16,10
Switzerland,UEFA,19,-7,1942.8255240479689,14.0,0.929,0.52,0.173,0.061,0.023,0.01,929,520,173,61,23,10
Senegal,CAF,14,5,1926.7896138078509,43.0,0.741,0.372,0.148,0.052,0.026,0.009,741,372,148,52,26,9
South Korea,AFC,25,0,1877.9757895197904,32.0,0.849,0.476,0.181,0.074,0.021,0.008,849,476,181,74,21,8
Canada,CONCACAF,30,23,1896.2866213259133,14.0,0.98,0.63,0.283,0.087,0.028,0.008,980,630,283,87,28,8
Paraguay,CONMEBOL,40,6,1919.3275958675936,-13.0,0.697,0.407,0.178,0.058,0.027,0.007,697,407,178,58,27,7
United States,CONCACAF,16,-3,1832.947903141356,37.0,0.806,0.432,0.175,0.05,0.015,0.005,806,432,175,50,15,5
Australia,AFC,27,0,1883.422071817664,45.0,0.65,0.385,0.162,0.064,0.024,0.004,650,385,162,64,24,4
Norway,UEFA,31,12,1964.6074650202395,40.0,0.7,0.379,0.174,0.065,0.017,0.004,700,379,174,65,17,4
Belgium,UEFA,9,-5,1923.018977892092,36.0,0.694,0.364,0.129,0.039,0.013,0.003,694,364,129,39,13,3
Turkey,UEFA,22,22,1936.916028000827,21.0,0.634,0.325,0.135,0.047,0.02,0.003,634,325,135,47,20,3
Austria,UEFA,24,10,1872.8645051743456,32.0,0.569,0.168,0.065,0.024,0.01,0.002,569,168,65,24,10,2
Panama,CONCACAF,33,28,1849.7383527750785,26.0,0.72,0.323,0.119,0.034,0.009,0.002,720,323,119,34,9,2
Croatia,UEFA,11,-4,1994.7528317433475,32.0,0.872,0.457,0.194,0.076,0.024,0.002,872,457,194,76,24,2
New Zealand,OFC,85,20,1766.964863516832,52.0,0.721,0.297,0.074,0.012,0.002,0.001,721,297,74,12,2,1
Algeria,CAF,28,10,1850.759649439677,41.0,0.534,0.148,0.062,0.023,0.006,0.001,534,148,62,23,6,1
Uzbekistan,AFC,50,27,1823.335063202796,34.0,0.628,0.25,0.065,0.022,0.008,0.001,628,250,65,22,8,1
Ivory Coast,CAF,34,13,1784.2385376123711,37.0,0.553,0.154,0.038,0.005,0.001,0.001,553,154,38,5,1,1
Cape Verde,CAF,69,3,1657.0023160350183,11.0,0.254,0.032,0.008,0.002,0.001,0.001,254,32,8,2,1,1
Bosnia and Herzegovina,UEFA,65,-8,1632.9554557187078,-16.0,0.302,0.035,0.004,0.0,0.0,0.0,302,35,4,0,0,0
Curaçao,CONCACAF,82,4,1621.1597136260614,21.0,0.255,0.05,0.009,0.001,0.0,0.0,255,50,9,1,0,0
Tunisia,CAF,44,-15,1734.550146814752,27.0,0.422,0.069,0.022,0.004,0.001,0.0,422,69,22,4,1,0
Czech Republic,UEFA,41,-2,1773.83531609497,8.0,0.487,0.139,0.039,0.007,0.002,0.0,487,139,39,7,2,0
Sweden,UEFA,38,-15,1754.8786009391804,7.0,0.416,0.082,0.021,0.002,0.0,0.0,416,82,21,2,0,0
DR Congo,CAF,46,27,1750.3971289589217,19.0,0.318,0.077,0.018,0.006,0.001,0.0,318,77,18,6,1,0
Jordan,AFC,63,21,1780.6557066135629,33.0,0.553,0.129,0.045,0.013,0.005,0.0,553,129,45,13,5,0
South Africa,CAF,60,7,1666.8062707646563,21.0,0.296,0.066,0.01,0.002,0.0,0.0,296,66,10,2,0,0
Ghana,CAF,74,-16,1615.8282628008585,13.0,0.185,0.011,0.002,0.0,0.0,0.0,185,11,2,0,0,0
Scotland,UEFA,43,-1,1830.63246878465,11.0,0.502,0.141,0.043,0.013,0.002,0.0,502,141,43,13,2,0
Saudi Arabia,AFC,61,-13,1687.3180708106408,4.0,0.424,0.081,0.021,0.003,0.001,0.0,424,81,21,3,1,0
Qatar,AFC,55,5,1591.4416945768933,6.0,0.37,0.055,0.006,0.0,0.0,0.0,370,55,6,0,0,0
Haiti,CONCACAF,83,4,1692.2800587518402,42.0,0.311,0.056,0.01,0.002,0.001,0.0,311,56,10,2,1,0
Iraq,AFC,57,11,1710.7810760359453,12.0,0.311,0.091,0.017,0.001,0.0,0.0,311,91,17,1,0,0
Egypt,CAF,29,11,1801.423080587071,18.0,0.517,0.187,0.039,0.011,0.001,0.0,517,187,39,11,1,0
